open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
159.75,160.36,154.97,155.81,76905200.0,,,155.81,,,1.0,0.0,AAPL,XNAS,2022-09-02T00:00:00+0000
156.64,158.42,154.67,157.96,74117400.0,,,157.96,,,1.0,0.0,AAPL,XNAS,2022-09-01T00:00:00+0000
160.31,160.58,157.14,157.22,87700100.0,,,157.22,,,1.0,0.0,AAPL,XNAS,2022-08-31T00:00:00+0000
162.13,162.56,157.72,158.91,77398800.0,,,158.91,,,1.0,0.0,AAPL,XNAS,2022-08-30T00:00:00+0000
161.15,162.9,159.82,161.38,73227700.0,,,161.38,,,1.0,0.0,AAPL,XNAS,2022-08-29T00:00:00+0000
170.57,171.05,163.56,163.62,78823500.0,,,163.62,,,1.0,0.0,AAPL,XNAS,2022-08-26T00:00:00+0000
168.78,170.14,168.35,170.03,51156300.0,,,170.03,,,1.0,0.0,AAPL,XNAS,2022-08-25T00:00:00+0000
167.32,168.11,166.25,167.53,53766800.0,,,167.53,,,1.0,0.0,AAPL,XNAS,2022-08-24T00:00:00+0000
167.08,168.71,166.65,167.23,54091400.0,,,167.23,,,1.0,0.0,AAPL,XNAS,2022-08-23T00:00:00+0000
169.69,169.86,167.14,167.57,68952600.0,,,167.57,,,1.0,0.0,AAPL,XNAS,2022-08-22T00:00:00+0000
173.03,173.74,171.31,171.52,70211500.0,,,171.52,,,1.0,0.0,AAPL,XNAS,2022-08-19T00:00:00+0000
173.75,174.9,173.12,174.15,62214200.0,,,174.15,,,1.0,0.0,AAPL,XNAS,2022-08-18T00:00:00+0000
172.77,176.15,172.57,174.55,79302100.0,,,174.55,,,1.0,0.0,AAPL,XNAS,2022-08-17T00:00:00+0000
172.78,173.71,171.66,173.03,56180100.0,,,173.03,,,1.0,0.0,AAPL,XNAS,2022-08-16T00:00:00+0000
171.52,173.39,171.35,173.19,54023100.0,,,173.19,,,1.0,0.0,AAPL,XNAS,2022-08-15T00:00:00+0000
169.82,172.17,169.4,172.1,67946400.0,,,172.1,,,1.0,0.0,AAPL,XNAS,2022-08-12T00:00:00+0000
170.06,170.99,168.19,168.49,57087300.0,,,168.49,,,1.0,0.0,AAPL,XNAS,2022-08-11T00:00:00+0000
167.68,169.34,166.9,169.24,70076000.0,,,169.24,,,1.0,0.0,AAPL,XNAS,2022-08-10T00:00:00+0000
164.02,165.82,163.25,164.92,63086000.0,,,164.92,,,1.0,0.0,AAPL,XNAS,2022-08-09T00:00:00+0000
166.37,167.81,164.2,164.87,60276900.0,,,164.87,,,1.0,0.0,AAPL,XNAS,2022-08-08T00:00:00+0000
163.21,165.85,163.0,165.35,56646600.0,,,165.35,,,1.0,0.0,AAPL,XNAS,2022-08-05T00:00:00+0000
166.01,167.19,164.43,165.81,55409400.0,,,165.58,,,1.0,0.0,AAPL,XNAS,2022-08-04T00:00:00+0000
160.84,166.59,160.75,166.13,82436600.0,,,166.13,,,1.0,0.0,AAPL,XNAS,2022-08-03T00:00:00+0000
160.1,162.41,159.63,160.01,59824800.0,,,160.01,,,1.0,0.0,AAPL,XNAS,2022-08-02T00:00:00+0000
161.01,163.59,160.89,161.51,67774800.0,,,161.51,,,1.0,0.0,AAPL,XNAS,2022-08-01T00:00:00+0000
161.24,163.63,159.5,162.51,101689200.0,,,162.51,,,1.0,0.0,AAPL,XNAS,2022-07-29T00:00:00+0000
156.98,157.64,154.41,157.35,80659400.0,,,157.35,,,1.0,0.0,AAPL,XNAS,2022-07-28T00:00:00+0000
152.58,157.33,152.16,156.79,78461200.0,,,156.79,,,1.0,0.0,AAPL,XNAS,2022-07-27T00:00:00+0000
152.26,153.09,150.8,151.6,54822900.0,,,151.6,,,1.0,0.0,AAPL,XNAS,2022-07-26T00:00:00+0000
154.01,155.04,152.28,152.95,53515000.0,,,152.95,,,1.0,0.0,AAPL,XNAS,2022-07-25T00:00:00+0000
155.39,156.28,153.41,154.09,66625400.0,,,154.09,,,1.0,0.0,AAPL,XNAS,2022-07-22T00:00:00+0000
154.5,155.57,151.94,155.35,64953600.0,,,155.35,,,1.0,0.0,AAPL,XNAS,2022-07-21T00:00:00+0000
151.12,153.72,150.37,153.04,64759500.0,,,153.04,,,1.0,0.0,AAPL,XNAS,2022-07-20T00:00:00+0000
147.92,151.23,146.91,151.0,82982367.0,,,151.0,,,1.0,0.0,AAPL,XNAS,2022-07-19T00:00:00+0000
150.74,151.57,146.7,147.07,81264900.0,,,147.07,,,1.0,0.0,AAPL,XNAS,2022-07-18T00:00:00+0000
149.78,150.86,148.2,150.17,76030800.0,,,150.17,,,1.0,0.0,AAPL,XNAS,2022-07-15T00:00:00+0000
144.08,148.95,143.25,148.47,77996900.0,,,148.47,,,1.0,0.0,AAPL,XNAS,2022-07-14T00:00:00+0000
142.99,146.45,142.1201,145.49,69119712.0,,,145.49,,,1.0,0.0,AAPL,XNAS,2022-07-13T00:00:00+0000
145.76,148.45,145.05,145.86,77523400.0,,,145.86,,,1.0,0.0,AAPL,XNAS,2022-07-12T00:00:00+0000
145.67,146.64,143.78,144.87,63305113.0,,,144.87,,,1.0,0.0,AAPL,XNAS,2022-07-11T00:00:00+0000
145.26,147.55,145.0,147.04,64493200.0,,,147.04,,,1.0,0.0,AAPL,XNAS,2022-07-08T00:00:00+0000
143.29,146.55,143.28,146.35,66189900.0,,,146.35,,,1.0,0.0,AAPL,XNAS,2022-07-07T00:00:00+0000
141.35,144.12,141.08,142.92,73972200.0,,,142.92,,,1.0,0.0,AAPL,XNAS,2022-07-06T00:00:00+0000
137.77,141.61,136.935,141.56,73429641.0,,,141.56,,,1.0,0.0,AAPL,XNAS,2022-07-05T00:00:00+0000
136.04,139.04,135.66,138.93,71007500.0,,,138.93,,,1.0,0.0,AAPL,XNAS,2022-07-01T00:00:00+0000
137.25,138.37,133.77,136.72,98867400.0,,,136.72,,,1.0,0.0,AAPL,XNAS,2022-06-30T00:00:00+0000
